Label,Count
IntroduceVariablesAndFormEquation,56
NumericalEstimation,52
UseStandardIdentities,33
ExpressOneUnknownThroughAnother,27
CaseAnalysisBySignOrInterval,22
CountTheSameQuantityInTwoWays,19
BruteForceCheckOverFiniteSet,15
ProofByContradictionInAlgebra,13
ParityOrModularArgumentForEquations,12
VietasFormulas,12
UseFunctionGraphForRootsAndComparisons,10
ParameterizedInvariantValue,9
UseTrivialInequalitiesAndAddThem,7
FactorAndUseZeroProductRule,6
CompleteTheSquareForNonNegativity,5
SubstitutionForSimplification,5
SystemOfEquationsAdditionOrSubstitution,4
ProvingByEquivalenceChain,2
ConstructiveAlgorithm,1
DetectPeriodInRecursiveSequence,1
FunctionalSubstitutionForRecurringExpression,1
InvariantByColoring,1
ParameterInvariantValue,1
SlopesOnCoordinatePlane,1
TelescopingSum,1
WeightedAMGMOrTwoVariableAMGM,1
