Label,Count
ExhaustiveEnumerationOfCases,64
FixedInvariantNumeric,62
BoundPlusMatchingConstructionForOptimum,54
RuleOfSumDisjointCases,39
PigeonholePrincipleBasic,31
DoubleCountingSameQuantityTwoWays,26
ExtremalElementArgument,20
RuleOfProductIndependentChoices,14
HandshakingLemmaSumOfDegreesEven,10
ColoringArgumentForCoverageOrUnreachability,8
EulerVennDiagramRegions,8
PigeonholePrincipleGeneralized,8
SymmetryStrategyInTwoPlayerGames,8
AveragingArgumentForExistenceOfElement,5
MonovariantStrictlyChangingQuantity,4
DynamicProgramming,3
RecursiveSequenceForCounting,3
CountingViaSymmetryClasses,1
EncodingForBijectionOrInvariant,1
PeriodicSequenceForLongIndex,1
SetComplement,1
