Label,Count
CaseAnalysis,65
IsoscelesTriangleProperties,62
AngleChasing,54
AuxiliaryLines,47
TriangleAngleSum,42
CongruentTriangles,41
AreaInvarianceAndDecomposition,40
ParallelogramProperties,26
ProofByContradiction,24
ColoringInvariant,23
SymmetryStrategy,23
ParallelLinesAngleProperties,19
TriangleInequality,18
AreaCounting,17
ParityInvariant,17
PackingDisjointShapes,13
AngleAtCenterAndCircumference,10
CountingByDoubleCounting,9
PerpendicularBisector,8
PigeonholePrinciple,8
PythagoreanTheorem,8
PointOnSegmentConstruction,7
SimilarTriangles,7
CyclicQuadrilateral,3
ScalingByLinearRatio,3
EquilateralTriangleConstruction,2
DynamicProgramming,1
SlopesOnCoordinatePlane,1
newMethod,1
