Label,Count
NumberConstruction,108
CompleteEnumeration,94
DivisibilityRules,76
BoundingArgument,63
ParityArgument,42
PositionalNotation,40
PrimeFactorization,37
PrimePropertiesAndUniqueness,32
CoprimeFactorsDivisibility,28
LastDigitAnalysis,26
AlgebraicManipulationForInteger,24
ProofByContradiction,23
InvariantMethod,12
PeriodicSequence,12
FactoringAlgebraicExpressions,11
DiophantineEquations,10
SumOfArithmeticOrTriangularNumbers,8
GameInvariantsInNT,7
PigeonholeInNT,6
DivisibilityByConsecutive,5
ModularArithmetic,5
NumberOfDivisors,4
TelescopingAndIdentity,3
CountingWithDigitalConstraints,1
InclusionExclusionCounting,1
