Label,HighCount,MediumCount,LowCount
UpperBoundWithoutExample,22,18,0
WrongTriangleSimilarityOrCongruence,21,5,0
WrongAngleDecomposition,16,5,0
SkippingCaseAnalysis,13,6,0
ProofByExampleForUniversalClaim,10,47,3
RelyingOnDiagramAppearance,5,67,2
MisuseOfMidpointOrParallel,4,4,0
ConflatingPropertyAndCriterion,2,3,0
AreaWithoutPosition,1,8,0
UnjustifiedAuxiliaryLineExists,1,3,0
ConcludingFromZeroOrEdgeCase,1,3,0
FromSpecialToGeneral,0,9,2
WrongAreaProportionality,0,4,0
UnstatedDirectionAssumption,0,3,0
