ID,Group,Original,Modified,ExplanationsLV,ExplanationsEn,Notes
P006A,consistency,"*Kāds ir mazākais* (1) sešciparu skaitlis, kas sastāv tikai no cipariem 2, 0, 1, 3 un dalās ar 9?","Atrodiet  mazāko sešciparu skaitli, kas sastāv tikai no cipariem 2, 0, 1, 3 un dalās ar 9.","(1) ""Kāds ir mazākais"" aizstājams ar ""atrodiet mazāko"", jo ir runa par mazāko (tātad vienu vienīgu) skaitli.","(1) ""Kāds ir mazākais"" should be replaced by ""Atrodiet mazāko"" since there is a unique object the problem talks about.",
P006B,coherence,"Vai eksistē tādi naturāli skaitļi a un b, *ka* (1): 8⋅a−12⋅b=2023.","Vai eksistē tādi naturāli skaitļi a un b, lai 8⋅a−12⋅b=2023.",(1) Saiklis “lai” ir iederīgāks; norāda uz nolūku.,"(1) Replace ""ka"" by ""lai"" to express intention.",
P006C,clarity,"Cik *4-centu* (1) pastmarku *nepieciešams* (2), lai izveidotu *vērtību 35 centi* (3), izmantojot tikai 4-centu (1) un 9-centu (1)  pastmarkas?","Cik 4 centu pastmarku var izmantot, lai izveidotu 35 centu vērtību, izmantojot tikai 4 centu un 9 centu pastmarkas?","(1) Tā neveido salikteņus; ""4 centu"" jāatdala ar tukšumu nevis defisi.
(2) Vārds ""nepieciešams"" ir neviennozīmīgs -- vai domāts ""cik pastmarku minimāli nepieciešams"" vai arī ""cik pastmarku var izmantot""
(3) ""35 centu vērtība"" ir loģiskāka vārdu kārtība.","(1) Expression ""4 centu pastmarka"" (space with no hyphen) is a correct usage.
(2) ""nepieciešams"" is ambiguous here -- either write ""cik pastmarku minimāli nepieciešams"" (what is the least necessary number of postage stamps), or ""cik pastmarku var izmantot"" (how. many postage stamps can be used). 
(3) ""35 centu vērtība"" is the appropriate word order. ",
P006D,consistency,"*Cik ir* (1) lielākā iespējamā ciparu summa septiņciparu naturālam skaitlim, kas dalās ar 8?","Kāda ir lielākā iespējamā ciparu summa septiņciparu naturālam skaitlim, kas dalās ar 8?","(1) Par summu nesaka ""cik ir"", jo tā ir viena vienīga. Labāk lietot ""kāda ir"".","(1) Regarding ""summa"" (a sum) one should say ""kāda ir"" rather than ""cik ir"".",
P006E,coherence.modality,Vai skaitļa kvadrāts *noteikti ir* (1)  lielāks *nekā* (2) pats skaitlis?,Vai skaitļa kvadrātam noteikti jābūt lielākam par pašu skaitli?,"(1) ""noteikti jābūt"" lietot ir labāk, jo par daudziem skaitļiem vienlaikus apgalvojot, nezinām, kādi tie ir.
(2) ""lielāks par"" ir pamatotāk izmantot nekā ""lielāks nekā"", jo ""nekā"" ir salīdzinājums starp diviem nosauktiem/konkrētiem lielumiem.","(1) ""noteikti jābūt"" is better here compared to ""noteikti ir"" as it is about the necessity (not about already existing numbers).
(2) ""lielāks par"" is better compared to ""lielāks nekā"" as ""nekā"" points to a certain, defined number (rather than a square that is a variable quantity).",
P006F,brevity,"Vai vienmēr, *negatīvam skaitlim pieskaitot* (1) tā kvadrātu, iegūst pozitīvu skaitli (2)?","Vai vienmēr, pieskaitot negatīvam skaitlim tā kvadrātu, iegūst pozitīvu rezultātu?","(1) Galvenā darbība ir “pieskaitīt” 
(2) Lai neatkārtotos “skaitlis” 
","(1) In ""pieskaitot negatīvam skaitlim"" the word order focuses on the action verb ""pieskaitīt"".
(2) Avoid repetition of ""skaitlis""",
P006G,consistency,"*Kāds* (1) mazākais skaits punktu jānodzēš, lai *nekādi trīs* (2) no atlikušajiem punktiem neatrastos uz vienas taisnes?","Kāds ir mazākais punktu skaits, kas jānodzēš, lai nevieni trīs no atlikušajiem punktiem neatrastos uz vienas taisnes?","(1) Gribam zināt skaita vērtību, tāpēc “kāds ir”
(2) Šajā gadījumā “neviens” var lietot daudzskaitlī, jo ir zināms, par kuriem punktiem ir runa. Vietniekvārds “neviens” ir iederīgāks ","(1) ""Kāds ir"" (instead of ""kāds"") emphasizes our need to know the value.
(2) As all the points are given, we can use ""neviens"" in plural -- ""nevieni trīs punkti"" would mean ""no three points (out of the given ones) ..."" ",
P006H1,clarity,"*Tabulā ar izmēriem 6×6 rūtiņas* (1) ierakstīti skaitļi 1, 0 un 1, katrā rūtiņā *viens skaitlis* (2). ","Tabulā, kuras izmērs ir 6×6 rūtiņas, ierakstīti skaitļi 1, 0 un 1, katrā rūtiņā pa skaitlim.","(1) Skaidrības labad, vēlams veidot palīgteikumu, jo to var nošķirt ar komatiem. 
(2) Lai neatkārtotos vārds “viens” ","(1) For clarity use a clause and separate it with commas.
(2) ""pa skaitlim"" would be better as it avoids using ""viens"" too much.",
P006H2,clarity,"Guna aprēķināja katrā rindā, katrā kolonnā un abās galvenajās diagonālēs ierakstīto skaitļu summas. Vai *noteikti* (1) starp iegūtajām summām *ir* (1) vismaz divas vienādas?","Guna aprēķināja katrā rindā, katrā kolonnā un abās galvenajās diagonālēs ierakstīto skaitļu summas. Vai starp iegūtajām summām noteikti jābūt vismaz divām vienādām?","(1) Precīzāka būtu vajadzības izteiksme, jo vēl nav zināms, vai ir. ",,
P006I,brevity,"Pirtiņā ir četras lāvas. *Pirtī* (1) pērties iegāja deviņi cilvēki. Vai noteikti būs tāda lāva, uz kuras *sēdēs* (2) vismaz trīs cilvēki *tad, kad* (3) visi būs apsēdušies?","Pirtiņā ir četras lāvas. Tur pērties iegāja deviņi cilvēki. Kad visi būs apsēdušies (2), vai noteikti būs tāda lāva, uz kuras sēž (3) vismaz trīs cilvēki?","(1) Valodas koncentrētība
(2) Paskaidrojot, kāda būs lāva, nav jāizmato nākotne. 
(3) Lai izvairītos no pārāk bieža palīgvārdu lietojuma - “tad, kad”.","(1) Avoid repeating ""pirtī"", ""pirtiņā"".
(2) Do not use future tense in a subordinate clause ""sēdēs"", if future is clear from ""būs tāda lāva"".
(3) Replace ""... tad, kad ..."" (too many auxiliary words) by ""Kad ..., ..."" to express adjective clause describing time.",
