OlympiadID,Property,Value
eliozo:EE.LHT,olympiadCountry,EE
eliozo:EE.LHT,olympiadCode,LHT
eliozo:EE.LHT,olympiadDescriptionEn,Igaunijas atklātā olimpiāde (Lahtised matemaatikavõistlused)
eliozo:EE.LHT,olympiadDescriptionLt,Estijos atviros matematikos varžybos (Lahtised matemaatikavõistlused)
eliozo:EE.LHT,olympiadDescriptionLv,Igaunijas atklātā olimpiāde (Lahtised matemaatikavõistlused)
eliozo:EE.LHT,olympiadNameEn,Estonian Open Mathematical Competition
eliozo:EE.LHT,olympiadNameLt,Estijos atviros matematikos varžybos
eliozo:EE.LHT,olympiadNameLv,Igaunijas atklātās matemātikas sacensības
eliozo:EE.LO,olympiadCountry,EE
eliozo:EE.LO,olympiadCode,LO
eliozo:EE.LO,olympiadDescriptionEn,"Estonian Mathematical Olympiad, Final Round (Matemaatikaolümpiaadi lõppvoorud)"
eliozo:EE.LO,olympiadDescriptionLt,Estijos matematikos olimpiados finalinis turas (Matemaatikaolümpiaadi lõppvoorud)
eliozo:EE.LO,olympiadDescriptionLv,Igaunijas matemātikas olimpiādes noslēguma kārta (Matemaatikaolümpiaadi lõppvoorud)
eliozo:EE.LO,olympiadNameEn,"Estonian Mathematical Olympiad, Final Round"
eliozo:EE.LO,olympiadNameLt,Estijos matematikos olimpiados finalinis turas
eliozo:EE.LO,olympiadNameLv,Igaunijas olimpiādes noslēguma kārta
eliozo:EE.PK,olympiadCountry,EE
eliozo:EE.PK,olympiadCode,PK
eliozo:EE.PK,olympiadDescriptionEn,"Estonian Mathematical Olympiad, Regional Round (Matemaatikaolümpiaadi piirkonnavoorud)"
eliozo:EE.PK,olympiadDescriptionLt,Estijos matematikos olimpiados rajoniniai turai (Matemaatikaolümpiaadi piirkonnavoorud)
eliozo:EE.PK,olympiadDescriptionLv,Igaunijas matemātikas olimpiādes reģionu kārta (Matemaatikaolümpiaadi piirkonnavoorud)
eliozo:EE.PK,olympiadNameEn,"Estonian Mathematical Olympiad, Regional Round"
eliozo:EE.PK,olympiadNameLt,Estijos matematikos olimpiados rajoniniai turai
eliozo:EE.PK,olympiadNameLv,Igaunijas matemātikas olimpiādes reģionu kārta
eliozo:EE.TST,olympiadCountry,EE
eliozo:EE.TST,olympiadCode,TST
eliozo:EE.TST,olympiadDescriptionEn,Estonian Team Selection Test (Eesti IMO-võistkonna valikvõistlused)
eliozo:EE.TST,olympiadDescriptionLt,Estijos atrankos varžybos (Eesti IMO-võistkonna valikvõistlused)
eliozo:EE.TST,olympiadDescriptionLv,Igaunijas atlases sacensības (Eesti IMO-võistkonna valikvõistlused)
eliozo:EE.TST,olympiadNameEn,Estonian Team Selection Test 
eliozo:EE.TST,olympiadNameLt,Estijos atrankos varžybos
eliozo:EE.TST,olympiadNameLv,Igaunijas atlases sacensības
eliozo:WW.IMOSHL,olympiadCountry,WW
eliozo:WW.IMOSHL,olympiadCode,IMOSHL
eliozo:WW.IMOSHL,olympiadDescriptionEn,"International Mathematical Olympiad (IMO), Shortlist"
eliozo:WW.IMOSHL,olympiadDescriptionLt,"Tarptautinė matematikos olimpiada (IMO), trumpasis sąrašas"
eliozo:WW.IMOSHL,olympiadDescriptionLv,"Starptautiskā matemātikas olimpiāde (IMO), īsais saraksts"
eliozo:WW.IMOSHL,olympiadNameEn,"International Mathematical Olympiad (IMO), Shortlist"
eliozo:WW.IMOSHL,olympiadNameLt,"Tarptautinė matematikos olimpiada (IMO), trumpasis sąrašas"
eliozo:WW.IMOSHL,olympiadNameLv,"Starptautiskā matemātikas olimpiāde (IMO), īsais saraksts"
eliozo:LT.LDK,olympiadCountry,LT
eliozo:LT.LDK,olympiadCode,LDK
eliozo:LT.LDK,olympiadDescriptionEn,Mathematical Competition in the Honor of Grand Duchy of Lithuania (Matematinės varžybos Lietuvos Didžiosios Kunigaikštystės garbei)
eliozo:LT.LDK,olympiadDescriptionLt,Matematinės varžybos Lietuvos Didžiosios Kunigaikštystės garbei
eliozo:LT.LDK,olympiadDescriptionLv,Matemātikas sacensības Lietuvas Lielkņazistes godam (Matematinės varžybos Lietuvos Didžiosios Kunigaikštystės garbei)
eliozo:LT.LDK,olympiadNameEn,Mathematical Competition in Honor of Grand Duchy of Lithuania
eliozo:LT.LDK,olympiadNameLt,Matematinės varžybos Lietuvos Didžiosios Kunigaikštystės garbei
eliozo:LT.LDK,olympiadNameLv,Matemātikas sacensības Lietuvas Lielkņazistes godam
eliozo:LT.LJMO,olympiadCountry,LT
eliozo:LT.LJMO,olympiadCode,LJMO
eliozo:LT.LJMO,olympiadDescriptionEn,Lithuanian Junior Mathematical Olympiad (Lietuvos jaunesniųjų klasių matematikos olimpiada)
eliozo:LT.LJMO,olympiadDescriptionLt,Lietuvos jaunesniųjų klasių matematikos olimpiada (Lietuvos 5–6 bei 7–8 klasių mokinių matematikos olimpiada)
eliozo:LT.LJMO,olympiadDescriptionLv,Lietuvas jaunāko klašu matemātikas olimpiāde (Lietuvos jaunesniųjų klasių matematikos olimpiada)
eliozo:LT.LJMO,olympiadNameEn,Lithuanian Junior Mathematical Olympiad
