SourceID,Property,Value
eliozo:SRC_UA_UOI,url,https://data.uoi.ua/contest/umo
eliozo:SRC_UA_UOI,label,UA_UOI
eliozo:SRC_UA_UOI,sourceNameEn,Ukrainian Olympiads
eliozo:SRC_UA_UOI,sourceNameLt,Ukrainos olimpiadas
eliozo:SRC_UA_UOI,sourceNameLv,Ukrainas olimpiādes
eliozo:SRC_UA_UOI,sourceDescriptionEn,All-Ukrainian Mathematical Olympiad (Stage 4)
eliozo:SRC_UA_UOI,sourceDescriptionLt,Visos Ukrainos mokinių olimpiada (4 etapas)
eliozo:SRC_UA_UOI,sourceDescriptionLv,Visukrainas olimpiāde (4.posms)
eliozo:SRC_UA_MATHOLYMP,url,https://matholymp.com.ua/vseukrayinskii-cikl
eliozo:SRC_UA_MATHOLYMP,label,UA_MathOlymp
eliozo:SRC_UA_MATHOLYMP,sourceNameEn,Ukrainian Mathematical Olympiads
eliozo:SRC_UA_MATHOLYMP,sourceNameLt,Ukrainos matematkos olimpiados
eliozo:SRC_UA_MATHOLYMP,sourceNameLv,Ukrainas matemātikas olimpiādes
eliozo:SRC_UA_MATHOLYMP,sourceDescriptionEn,Mathematical Olympiad News: All-Ukrainian contest
eliozo:SRC_UA_MATHOLYMP,sourceDescriptionLt,Matematikos olimpiadų naujienos: Visos Ukrainos konkursas
eliozo:SRC_UA_MATHOLYMP,sourceDescriptionLv,Matemātikas olimpiāžu jaunumi: Visukrainas cikls
eliozo:SRC_PL_EDU_SEM,url,https://om.sem.edu.pl/problems/
eliozo:SRC_PL_EDU_SEM,label,PL_SEM
eliozo:SRC_PL_EDU_SEM,sourceNameEn,Polish Association for Mathematics Education: Olympiads
eliozo:SRC_PL_EDU_SEM,sourceNameLt,Lenkijos matematikos ugdymo asociacija: olimpiados
eliozo:SRC_PL_EDU_SEM,sourceNameLv,Polijas matemātiskās izglītības biedrība: olimpiādes
eliozo:SRC_PL_EDU_SEM,sourceDescriptionEn,Archive of the Polish Mathematical Olympiad with problem statements and official solutions for stages 1 to 3
eliozo:SRC_PL_EDU_SEM,sourceDescriptionLt,Lenkijos matematikos olimpiados archyvas: 1-3 etapų uždavinių tekstai ir oficialūs sprendimai
eliozo:SRC_PL_EDU_SEM,sourceDescriptionLv,Polijas Matemātikas olimpiādes arhīvs: 1-3 posmu uzdevumu teksti un oficiālie risinājumi
eliozo:SRC_LT_VU_MIF,url,https://mif.vu.lt/matematikos-olimpiados/
eliozo:SRC_LT_VU_MIF,label,LT_VU_MIF
eliozo:SRC_LT_VU_MIF,sourceNameEn,Lithuanian Mathematical Olympiads
eliozo:SRC_LT_VU_MIF,sourceNameLt,Lietuvos matematikos olimpiados
eliozo:SRC_LT_VU_MIF,sourceNameLv,Lietuvas matemātikas olimpiādes
eliozo:SRC_LT_VU_MIF,sourceDescriptionEn,Lithuanian olympiad repository; problems in Lithuanian
eliozo:SRC_LT_VU_MIF,sourceDescriptionLt,Lietuvos olimpiadų archyvas; užduočių tekstai lietuvių kalba
eliozo:SRC_LT_VU_MIF,sourceDescriptionLv,Lietuvas olimpiāžu arhīvs; uzdevumu teksti lietuviski
eliozo:SRC_EE_UT_OLYMPIAADID,url,https://www.math.olympiaadid.ut.ee/html/index.php
eliozo:SRC_EE_UT_OLYMPIAADID,label,EE_Olympiaadid
eliozo:SRC_EE_UT_OLYMPIAADID,sourceNameEn,Estonian mathematical olympiads
eliozo:SRC_EE_UT_OLYMPIAADID,sourceNameLt,Estijos matematikos olimpiados
eliozo:SRC_EE_UT_OLYMPIAADID,sourceNameLv,Igaunijas matemātikas olimpiāžu arhīvs
eliozo:SRC_EE_UT_OLYMPIAADID,sourceDescriptionEn,"Problem texts in Estonian and Russian. Regional tour (piirkonnavoorud), national tour (lõppvoorud), open contests in fall and winter (lahtised võistlused), team selection tests (valikvõistlused)"
eliozo:SRC_EE_UT_OLYMPIAADID,sourceDescriptionLt,"Užduočių tekstai estų ir rusų kalbomis. Regioninis turas (piirkonnavoorud), respublikinis turas (lõppvoorud), rudens ir žiemos atviros varžybos (lahtised võistlused), atrankinės varžybos (valikvõistlused)"
eliozo:SRC_EE_UT_OLYMPIAADID,sourceDescriptionLv,"Uzdevumu teksti igauņu un krievu valodās. Reģionu kārta (piirkonnavoorud), valsts kārta (lõppvoorud), rudens un ziemas atklātie konkursi (lahtised võistlused), atlases sacensības (valikvõistlused)"
eliozo:SRC_LV_LU_NMS,url,https://www.nms.lu.lv/arhivs-un-materali/uzdevumu-arhivs/olimpiazu-uzdevumu-arhivs/
eliozo:SRC_LV_LU_NMS,label,LV_LU_NMS
eliozo:SRC_LV_LU_NMS,sourceNameEn,Latvian mathematical olympiads
eliozo:SRC_LV_LU_NMS,sourceNameLt,Latvijos matematikos olimpiados
eliozo:SRC_LV_LU_NMS,sourceNameLv,Latvijas matemātikas olimpiādes (NMS arhīvs)
eliozo:SRC_LV_LU_NMS,sourceDescriptionEn,"Preparatory, regional, national and open competitions"
eliozo:SRC_LV_LU_NMS,sourceDescriptionLt,"Parengiamosios, regioninės, respublikinės ir atviros varžybos"
eliozo:SRC_LV_LU_NMS,sourceDescriptionLv,"Sagatavošanās, novadu, valsts un atklātās olimpiādes"
eliozo:SRC_AOPS_INTL,url,https://artofproblemsolving.com/community/c14_international_contests
eliozo:SRC_AOPS_INTL,label,AoPS_International
eliozo:SRC_AOPS_INTL,sourceNameEn,Art of Problem Solving: International Contests
eliozo:SRC_AOPS_INTL,sourceNameLt,Art of Problem Solving: Tarptautines varžybos
