Problem,Property,Value,Text
LV.AMO.2011.5.1,youtube,tWx-UGFeuSA,
LV.AMO.2011.5.1,topic,integer-factorization,
LV.AMO.2011.5.1,title,"AMO2011, 5.klases 1.uzdevums",
LV.AMO.2011.5.1,bookmark,5,Uzdevuma saprašana: Piemērā abi reizinātāji ir īsti divciparu skaitļi.
LV.AMO.2011.5.1,bookmark,45,Uzdevuma saprašana: Kādēļ pilnā pārlase neder.
LV.AMO.2011.5.1,bookmark,78,"Uzdevuma saprašana: Izmantojam vienādības labo pusi, lai samazinātu meklējumu telpu."
LV.AMO.2011.5.1,bookmark,120,Skaitļa 111 izteikšana ar reizinājumu. Metode: Dalīšana pirmreizinātājos.
LV.AMO.2011.5.1,bookmark,175,Izsakām visus EEE skaitļus kā reizinājumus. Metode: Gadījumu pārlase.
LV.AMO.2011.5.1,bookmark,220,Kādēļ kreisajā pusē jābūt 37 vai 74? Metode: Dalāmība veselu skaitļu vienādojumā.
LV.AMO.2011.5.1,bookmark,343,Nederīgo reizinājumu atmešana. Metode: Izslēgšanas metode.
LV.AMO.2011.5.1,bookmark,428,Atskats: Atbildes formulējums; reizinātāju mainīšana vietām atbilžu skaitu formāli palielina.
,,,
LV.AMO.2011.5.2,youtube,tcAc6S9-VlE,
LV.AMO.2011.5.2,topic,integer-factorization,
LV.AMO.2011.5.2,title,"AMO2011, 5.klases 2.uzdevums",
LV.AMO.2011.5.2,bookmark,6,"Uzdevuma saprašana: Zināms, ka summas ir vienādas, bet nav zināms, ar ko tās ir vienādas."
LV.AMO.2011.5.2,bookmark,53,Risinājums: Ieviešam burta apzīmējumu. Metode: Mainīgā ieviešana.
LV.AMO.2011.5.2,bookmark,170,Risinājums: Vienādojuma sastādīšana un risināšana.
LV.AMO.2011.5.2,bookmark,280,Risinājums: Skaitļu tabulas aizpildīšana.
LV.AMO.2011.5.2,bookmark,428,Atskats: Atbildes formulējums; reizinātāju mainīšana vietām atbilžu skaitu formāli palielina.
,,,
LV.AMO.2011.5.3,youtube,ZXMm0a2NE9c,
LV.AMO.2011.5.3,topic,small-increment,
LV.AMO.2011.5.3,title,"AMO2011, 5.klases 3.uzdevums",
LV.AMO.2011.5.3,bookmark,6,Uzdevuma saprašana: Kādēļ varētu nestrādāt trijstūru griešana uz pusēm.
LV.AMO.2011.5.3,bookmark,41,Risinājums: Kvadrāta sadalīšana jebkādos trijstūros. Metode: Uzdevuma aizstāšana ar vienkāršāku.
LV.AMO.2011.5.3,bookmark,70,Risinājums: Vai jebkādu trijstūri var sadalīt platleņķa trijstūros? Metode: Uzdevuma vispārināšana.
LV.AMO.2011.5.3,bookmark,105,Risinājums: Konstrukcija un pierādījums ar augstuma novilkšanu pret garāko malu. Metode: Spriedumi par nelielām izmaiņām.
LV.AMO.2011.5.3,bookmark,234,Risinājums: Konstrukcijas atkārtošana kvadrātam. Metode: Simetrijas izmantošana.
,,,
LV.AMO.2011.5.4,youtube,qZ3xYhXjkuA,
LV.AMO.2011.5.4,topic,graph-properties,
LV.AMO.2011.5.4,title,"AMO2011, 5.klases 4.uzdevums",
LV.AMO.2011.5.4,bookmark,37,Risinājums: (a) piemēra konstrukcija. Skaitļu apļa kaimiņu attēlošana ar grafa šķautnēm. Metode: Grafu īpašības.
LV.AMO.2011.5.4,bookmark,110,"Risinājums: Nesakarīgs grafs (noslēgts loks, no kura netiek ārā) un tā neiespējamība. Metode: Grafu īpašības."
LV.AMO.2011.5.4,bookmark,134,Risinājums: Konstrukcija no otra gala un gabalu savienošana. Metode: Simetrijas izmantošana.
LV.AMO.2011.5.4,bookmark,291,Risinājums: (b) piemēra neiespējamība. Metode: Pierādījums no pretējā.
,,,
LV.AMO.2011.5.5,youtube,ynAOj1ip2wM,
LV.AMO.2011.5.5,topic,symmetry,
LV.AMO.2011.5.5,title,"AMO2011, 5.klases 5.uzdevums",
LV.AMO.2011.5.5,bookmark,4,"Uzdevuma saprašana: Uzdevums par ""retinātu"" stūrīšu izvietošanu."
LV.AMO.2011.5.5,bookmark,55,Risinājums: Neaizņemto rūtiņu skaita aprēķins. Metode: Skaitīšana.
LV.AMO.2011.5.5,bookmark,70,Risinājums: Kādas var izskatīties brīvās rūtiņas un to konfigurācijas.
LV.AMO.2011.5.5,bookmark,116,Risinājums: (a) Piemēra konstruēšana. Metode: Simetrijas izmantošana.
LV.AMO.2011.5.5,bookmark,266,Risinājums: (b) Piemēra konstruēšana. Metode: Simetrijas izmantošana. No pretējā.
,,,
LV.AMO.2012.5.1,title,"39.AMO, 5.klases 1.uzdevums",
LV.AMO.2012.5.1,youtube,RX4BrGMvxDc,
LV.AMO.2012.5.1,topic,modular-arithmetic,
LV.AMO.2012.5.1,bookmark,16,"Uzdevuma saprašana: Atbilde ""Jā"" vai ""Nē"" ir jāpamato."
LV.AMO.2012.5.1,bookmark,30,Uzdevuma saprašana: Divu veidu pamatojumi - piemērs vai neiespējamības pierādījums.
LV.AMO.2012.5.1,bookmark,78,"Uzdevuma saprašana: Pilnā pārlase neder, jo skaitļi var būt ļoti lieli."
LV.AMO.2012.5.1,bookmark,103,Risinājums: Izmantojam doto - cenšamies iegūt secinājumus par skaitļa pieraksta cipariem. Metode: Secinājumi no dotā.
LV.AMO.2012.5.1,bookmark,122,Risinājums:  iegūšana par skaitļa pēdējo ciparu. Metode: Atlikumu aritmētika.
LV.AMO.2012.5.1,bookmark,186,Risinājums: Aplūkojam gadījumus par septiņkāršotā reizinājuma pēdējo ciparu Metode: Gadījumu pārlase. Spriedums no pretējā.
LV.AMO.2012.5.1,note,,"Atrast vēl kādu četru ciparu komplektu, kuram ir spēkā īpašība: neeksistē divi skaitļi, kas pierakstīti tikai ar šiem cipariem un viens ir 7 reizes lielāks par otru."
,,,
LV.AMO.2012.5.2,title,"39.AMO, 5.klases 2.uzdevums",
LV.AMO.2012.5.2,sameAs,LV.AMO.2011.5.3,
,,,
LV.AMO.2012.5.3,title,"39.AMO, 5.klases 3.uzdevums",
LV.AMO.2012.5.3,youtube,b-rJQuY5gO8,
LV.AMO.2012.5.3,topic,worst-case-scenario,
LV.AMO.2012.5.3,bookmark,16,"Uzdevuma saprašana: Vārds ""noteikti"" nozīmē, ka jāaplūko sliktākais gadījums."
LV.AMO.2012.5.3,bookmark,41,"Risinājums: Kāds ir lielākais pogu skaits, lai process vēl nebeigtos. Metode: Novērtējumi ar nevienādībām."
LV.AMO.2012.5.3,bookmark,135,"Risinājums: Novērtējumu palielinot, vismaz viena no krāsām sasniegs prasīto. Metode: Novērtējumi ar nevienādībām."
LV.AMO.2012.5.3,bookmark,172,"Atskats: Kādēļ visi uzdevuma nosacījumi ir būtiski - kas notiek, ja uz pogām drīkst skatīties?"
LV.AMO.2012.5.3,bookmark,190,"Atskats: Kādēļ visi uzdevuma nosacījumi ir būtiski - kas notiek, ja maisā ir vēl arī 1000 pelēkas pogas?"
LV.AMO.2012.5.3,note,,"Cik pogu, uz tām neskatoties, būtu jāizvelk, lai starp izvilktajām būtu GAN 2 baltas, GAN 3 zaļas, GAN 4 sarkanas?"
,,,
LV.AMO.2012.5.4,title,"39.AMO, 5.klases 4.uzdevums",
LV.AMO.2012.5.4,youtube,AgHNxnHjFGY,
LV.AMO.2012.5.4,topic,graph-properties,
LV.AMO.2012.5.4,bookmark,16,"Uzdevuma saprašana: Vārds ""noteikti"" nozīmē, ka jāaplūko sliktākais gadījums."
LV.AMO.2012.5.4,bookmark,29,Risinājums: No kuriem stāviem var uzbraukt par 17 uz augšu? No kuriem var nobraukt par 8 uz leju? Metode: Gadījumu pārlase.
LV.AMO.2012.5.4,bookmark,102,Risinājums: Izvēlamies nejaušu stāvu un sākam braukt. Metode: Piemēra aplūkošana.
LV.AMO.2012.5.4,bookmark,264,"Risinājums: Pievienojam konstrukcijai 9. un 17.stāvu un formulējam atbildi. Pamatojam, ka stāvs #17 ir vienīgais atrisinājums. Metode: Grafu īpašības."
LV.AMO.2012.5.4,bookmark,360,"Atskats: Kas notiks, ja stāvu būtu 25 stāvi?"
,,,
LV.AMO.2012.9.1,title,"39.AMO, 9.klases 1.uzdevums",
LV.AMO.2012.9.1,youtube,ZnSvxqDyNuk,
LV.AMO.2012.9.1,topic,integer-factorization,
LV.AMO.2012.9.1,bookmark,15,"Risinājums: Cik dalītāju ir skaitļiem 1, pirmskaitļiem, pirmskaitļu kvadrātiem. Metode: Dalīšana reizinātājos."
LV.AMO.2012.9.1,note,,"Vai var atrast skaitli, kuram ir tieši 12 veseli pozitīvi dalītāji un kurš dalās ar diviem (vai trim, vai četriem) dažādiem pirmskaitļiem?"
,,,
LV.AMO.2012.9.2,title,"39.AMO, 9.klases 2.uzdevums",
LV.AMO.2012.9.2,youtube,7PDaCUVFnbw,
LV.AMO.2012.9.2,topic,graph-properties,
LV.AMO.2012.9.2,bookmark,23,Uzdevuma saprašana: Zīmējuma izveidošana.
LV.AMO.2012.9.2,bookmark,73,Risinājums: MN paralēls AB. Metode: Trijstūra viduslīnija.
LV.AMO.2012.9.2,bookmark,87,Risinājums: Pierādāmās leņķu vienādības aizstāšana ar citu. Metode: Šķērsleņķu aplūkošana
LV.AMO.2012.9.2,bookmark,146,Risinājums: Mediāna sadala taisnleņķa trijstūri divos vienādsānu trijstūros. Metode: Simetrijas izmantošana.
,,,
LV.AMO.2012.9.3,title,"39.AMO, 9.klases 3.uzdevums",
LV.AMO.2012.9.3,youtube,WV3oMgrKvaQ,
LV.AMO.2012.9.3,topic,graph-properties,
LV.AMO.2012.9.3,bookmark,16,Risinājums: Kvadrāttrinoma dalīšana reizinātājos. Metode: kvadrāttrinomu īpašības.
LV.AMO.2012.9.3,bookmark,57,Risinājums: Alternatīva metode - Vjeta teorēma. Metode: Kvadrāttrinomu īpašības.
LV.AMO.2012.9.3,bookmark,81,Risinājums: Veselu skaitļu vienādojums pret p un q. Metode: Gadījumu pārlase.
LV.AMO.2012.9.3,bookmark,150,"Risinājums: Skaitlis, kas nedalās ne ar vienu pirmskaitli, kas nepārsniedz skaitļa kvadrātsakni, tad skaitlis ir pirmskaitlis. Metode: Pirmskaitļu īpašības."
LV.AMO.2012.9.3,bookmark,219,Risinājums: Citi gadījumi - ja ņemam nepāra pirmskaitli p. Metode: Pāru un nepāru skaitļi.
LV.AMO.2012.9.3,bookmark,257,"Risinājums: Iegūstam a vērtību, ja zināmas saknes p^2 un q."
,,,
LV.AMO.2012.9.4,title,"39.AMO, 9.klases 4.uzdevums",
LV.AMO.2012.9.4,youtube,gKwJyRVBxk8,
LV.AMO.2012.9.4,topic,invariants,
LV.AMO.2012.9.4,bookmark,45,Risinājums: Divu spēlētāju spēļu pozīciju grafs ar atgriešanos līdzsvarā. Metode: Spēles vizualizācija ar grafu.
LV.AMO.2012.9.4,bookmark,147,Risinājums: Nonākšana laimīgajā pozīcijā - kur skaitlis dalās ar 37 (zvaigznīšu vietā nulles). Metode: Invariantu metode.
LV.AMO.2012.9.4,bookmark,200,Risinājums: Par cik palielinās atlikums katrā gājienā? Metode: Skaitļa decimālpieraksts.
LV.AMO.2012.9.4,bookmark,264,Risinājums: Skaitļa ciparu dotie atlikumi. Metode: Atlikumu aritmētika.
LV.AMO.2012.9.4,bookmark,493,Risinājums: Skaitļa 111 īpašība un tās lietojums spēles stratēģijā. Metode: Konstrukcija.
LV.AMO.2012.9.4,bookmark,762,Risinājums: Vai Jānis var apdraudēt Pētera stratēģiju.
,,,
LV.AMO.2012.9.5,title,"39.AMO, 9.klases 5.uzdevums",
LV.AMO.2012.9.5,youtube,eE3-qUmyW74,
LV.AMO.2012.9.5,topic,extreme-element,
LV.AMO.2012.9.5,bookmark,17,Uzdevuma saprašana: Kas ir dots? Trapece un tās pamatu garumu attiecība.
LV.AMO.2012.9.5,bookmark,64,"Risinājums: Izvēlamies trijstūri, kurš varētu būt vismazākais. Metode: Ekstremālais elements."
LV.AMO.2012.9.5,bookmark,117,Risinājums: Laukumu nevienādība un iegūtā pretruna. Metode: Spriedums no pretējā.
LV.AMO.2012.9.5,bookmark,205,Atskats: Kādus trapeces parametrus neizmantojām un kas griešanai trijstūros bija vai nebija būtiski.
LV.AMO.2012.9.5,note,,"Atrast vispārīgu pazīmi, lai trapeci varētu sagriezt 2, 3, 4 vai 5 vienlielos trijstūros."
,,,
LV.AMO.2013.5.1,title,"40.AMO, 5.klases 1.uzdevums",
LV.AMO.2013.5.1,youtube,UNyM7DyFDug,
LV.AMO.2013.5.1,topic,case-analysis,
LV.AMO.2013.5.1,bookmark,17,Uzdevuma saprašana: Ko uzdevumā prasīts noskaidrot.
LV.AMO.2013.5.1,bookmark,45,Uzdevuma saprašana: Ko nozīmē rādītāju sakrišana (pulksteņa rādītāji kustas nepārtraukti)
LV.AMO.2013.5.1,bookmark,75,Risinājums: Aprakstām abu rādītāju kustību un kurās vietās viens var apsteigt otru. Metode: Procesa vizualizācija.
LV.AMO.2013.5.1,bookmark,238,Risinājums: Satikšanās punktu atzīmēšana uz ciparnīcas. Metode: Gadījumu pārlase.
LV.AMO.2013.5.1,bookmark,322,Risinājums: Katrā apsteigšanas gadījumā notiek rādītāju stāvokļu sakrišana. Metode: Nepārtrauktība.
LV.AMO.2013.5.1,bookmark,418,Risinājums: Ātrumu atņemšana. Metode: Teksta uzdevums ar proporcijām.
LV.AMO.2013.5.1,note,"Pieņemsim, ka ir iestājies moments, kurā stundu un minūšu rādītāji sakrīt. Kur šajā momentā atrodas sekunžu rādītājs? Vai ir tādi brīži, izņemot 0:00 un 24:00, kuros sakrīt visi trīs rādītāji?",
LV.AMO.2013.5.1,note,Cik reizes diennaktī sakritīs minūšu un sekunžu rādītāji? Stundu un sekunžu rādītāji?,
LV.AMO.2013.5.1,note,"Kas notiktu tad, ja stundu un minūšu rādītāji virzītos viens otram pretī?",
,,,
LV.AMO.2013.5.2,title,"40.AMO, 5.klases 2.uzdevums",
LV.AMO.2013.5.2,youtube,96mCTGXI4N4,
LV.AMO.2013.5.2,topic,directed-graph,
LV.AMO.2013.5.2,bookmark,30,Uzdevuma saprašana: Ko uzdevumā prasīts noskaidrot
LV.AMO.2013.5.2,bookmark,50,Risinājums: Stāvu attēlošana ar aplīšiem. Metode: Grafa izmantošana.
LV.AMO.2013.5.2,bookmark,125,Risinājums: Uzdevuma atrisinājumu skaits atkarībā no grafa izskata. Metode: Gadījumu šķirošana.
LV.AMO.2013.5.2,bookmark,180,"Risinājums: Meklējam maršruta sākumpunktu, pieņemot, ka uzdevumam ir tieši 1 atrisinājums. Metode: Pieņēmuma izmantošana."
LV.AMO.2013.5.2,bookmark,345,Risinājums: Zīmējam lifta maršŗutu. Metode: Grafa konstruēšana ar dotajiem ierobežojumiem.
LV.AMO.2013.5.2,bookmark,478,Atskats: Secinājums un atbildes formulējums.
LV.AMO.2013.5.2,note,"Citi apgalvojumi: Ja mājai būtu 23 stāvi, tad būtu stāvi, kuros vispār nevar iebraukt. Ja mājai būtu 25 stāvi, tad varētu no jebkura stāva aizbraukt uz jebkuru citu",
,,,
LV.AMO.2013.5.3,title,"40.AMO, 5.klases 3.uzdevums",
LV.AMO.2013.5.3,youtube,7o9b9yKO08c,
LV.AMO.2013.5.3,topic,adding-with-regrouping,
LV.AMO.2013.5.3,bookmark,15,Uzdevuma saprašana: Ko uzdevumā prasīts noskaidrot
LV.AMO.2013.5.3,bookmark,44,Uzdevuma saprašana: Desmit cipari un deviņi aplīši
LV.AMO.2013.5.3,bookmark,57,"Uzdevuma saprašana: Summa, kam visur jābūt vienādai, nemaz nav zināma"
LV.AMO.2013.5.3,bookmark,64,"Risinājums: Noskaidrojam summu, ja cipari ir no 1 līdz 9. Metode: Saskaitīšana dažādos veidos."
LV.AMO.2013.5.3,bookmark,135,"Risinājums: Uzzinām, ko rakstīt kvadrāta vidū. Metode: Burtu apzīmējumi un algebriska identitāte."
LV.AMO.2013.5.3,bookmark,245,"Risinājums: Gadījums, ja ""1"" raksta stūrī. Metode: Pieņēmuma izmantošana."
LV.AMO.2013.5.3,bookmark,360,"Risinājums: Gadījums, ja ""1"" raksta uz malas. Metode: Pieņēmuma izmantošana."
