L1,L2,L3,Label,TitleLv,TitleEn,DescriptionLv,DescriptionEn,TypicalTopics,Notes
1,0,0,Alg,Algebra,Algebra,Visi algebras uzdevumi.,All algebra problems,Algebra,
1,1,0,DOM_WordProblems,Tradicionāli teksta uzdevumi,Word Problems,"Tradicionāli teksta uzdevumi, kur reālās dzīves situācija aprakstīta ar kvantitatīvām sakarībām.",Traditional word problems - real world situation described quantitatively.,AlgebraicTransformations; FormingEquations; FractionsRatiosPercent,https://problems.ru/view_by_subject_new.php?parent=89
1,2,0,DOM_AlgebraicOperations,Izteiksmju pārveidošana un salīdzināšana,Expression Transformation and Comparison,"Uzdevumi, kuros algebriska darbība jāizsaka ar citām, jāizsaka mainīgā vērtība, jāvienkāršo algebriska izteiksme vai jāsalīdzina skaitliskas izteiksmes pēc lieluma. (Vienādojumu risināšanu sk. DOM_Equations; nevienādību uzdevumus sk. DOM_Inequalities.)","Problems where an algebraic operation must be expressed through others, the value of a variable must be expressed, an algebraic expression must be simplified, or numeric expressions must be compared by size. (For solving equations see DOM_Equations; for inequality problems see DOM_Inequalities.)",Identities; ConjugateExpressions; PowersRootsLogarithms,Pārcelts no 1.3.1 uz L2 (2026): pēc satura nav nevienādību apakšžanrs.
1,3,0,DOM_Equations,Algebriski vienādojumi,Equations,"Algebras uzdevumi, kuros prasīts atrisināt vienādojumu vai noteikt vienādojuma sakņu skaitu. Uzdevumi, kuros jāpēta vienādojuma atrisinājuma eksistence, jāpierāda, ka eksistē atrisinājums vai ka tas neeksistē.",Algebra problems where an equation should be solved or its roots counted or analyzed. Problems where the existence of solution has to be proved or disproved.,AlgebraicEquations,
1,3,1,DOM_MultivariableEquations,Vairāku mainīgo vienādojumi,Multivariable Equations,"Vienādojumi ar vairākiem mainīgajiem, kur atrisinājumu kopa jāatrod vai jāraksturo reālos skaitļos.",Equations in several variables whose solution set must be found or characterised over the reals.,EquationsApplyInequalities; CompletingSquare; EquationComparingSidesAsFunctions,
1,3,2,DOM_EquationSystems,Vienādojumu sistēmas,Systems of Equations,Vienādojumu sistēmu risināšana un atrisinājumu eksistences analīze.,Solving equation systems and analyzing the existence and uniqueness of their solutions.,EquationSystems,
1,3,3,DOM_ParametrizedEquations,Parametrizēti vienādojumi,Parametrized Equations,Vienādojumi ar parametru — jānosaka atrisinājumu skaits vai īpašības atkarībā no parametra vērtībām.,Equations with a parameter — the number or properties of solutions must be determined depending on the parameter values.,EquationAnalysis; QuadraticEquationAnalysis,https://problems.ru/view_by_subject_new.php?parent=227
1,3,4,DOM_ExpLogIrrationalEquations,"Eksponent-, logaritmiskie un iracionālie vienādojumi","Exponential, Logarithmic and Irrational Equations","Vienādojumi (un attiecīgās nevienādības), kuru formulējumā nezināmais ir zem saknes, kāpinātājā vai zem logaritma.","Equations (and the corresponding inequalities) whose statement has the unknown under a radical, in an exponent or under a logarithm.",ExponentialLogarithmicEquations; EquationSubstitution,Jauna rinda (2026).
1,4,0,DOM_Inequalities,Nevienādības,Inequalities,Uzdevumi par algebriskām nevienādībām,Problems to prove some inequalities or analyze them. Also problems to solve inequalities.,ProvingInequalities,
1,4,1,DOM_LinearInequalities,Lineāru nevienādību risināšana,Linear Inequalities,Lineāru nevienādību risināšana ar vienu vai vairākiem mainīgajiem,Solving linear inequalities in one or several variables.,InequalitySolvingWithTransformations; LinearOptimization,
1,4,2,DOM_SystemsOfInequalities,Nevienādību sistēmas,Systems of Inequalities,Nevienādību sistēmu risināšana,Solving systems of inequalities.,LinearOptimization; InequalitySolving,
